sourcePage,category,section,application,cataloguePartNumber,referenceNo,mrp,validationStatus,imageStatus
"10","Water Pump Assemblies","D.G. GENSETS","L/L 680 ENG. COMPLETE ASSLY WITH BASE PLATE, HUB AND PULLEY","M-507 CA / M-836 CA","F39100100 / 569056","10247","READY","REVIEW_NO_SAFE_PHOTO"
"10","Water Pump Assemblies","D.G. GENSETS","L/L 680 ENG. COMPLETE ASSLY WITH BASE PLATE, HUB AND PULLEY ( WITH NYLON GLASS FILLED PLASTIC IMPELLER )","M-507 CA MD / M-836 CA MD","F39100100 / 569056","8889","READY","REVIEW_NO_SAFE_PHOTO"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 ENG. WITH PULLEY WITHOUT BASE PLATE","M-523 H / M-838 H","A7070400 / A7074600 / B7074604","7588","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 ENG. WITH PULLEY WITHOUT BASE PLATE ( WITH NYLON GLASS FILLED PLASTIC IMPELLER )","M-523 H MD / M-838 H MD","A7070400 / A7074600 / B7074604","6752","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 ENG. WITHOUT BASE PLATE HUB & PULLEY","M-523 HA / M-838 HA","A7070400 / A7074600 / B7074604","5511","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 ENG. WITHOUT BASE PLATE HUB & PULLEY ( WITH NYLON GLASS FILLED PLASTIC IMPELLER )","M-523 HA MD / M-838 HA MD","A7070400 / A7074600 / B7074604","4662","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 COMPLETE ASSLY. WITH BASE PLATE HUB AND PULLEY","M-523 CA / M-838 CA","A7070400 / A7074600 / B7074604","9702","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","L/L 690 COMPLETE ASSLY. WITH BASE PLATE HUB AND PULLEY ( WITH NYLON GLASS FILLED PLASTIC IMPELLER )","M-523 CA MD / M-838 CA MD","A7070400 / A7074600 / B7074604","8929","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","KIRLOSKAR DM-20 GENERATOR","M-617 H","S4009930 / L99DE00866 / S40099237","2222","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","KIRLOSKAR DM-20 GEN. WITH STAND","M-617 CA","1005 KTB80","3776","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","SL-90 GENERATOR","M-648","1005 KTB80","2855","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","JCB / CUMMINS GENSET WITH BIG BASE PLATE ( TATA 1210 DESIGN )","M-529","2527 2012 0211","5126","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","TATA HITACHI Ex60, Ex70 JCB CUMMINS ENG. WITHOUT BASE PLATE","M-529 H","2523 2010 0103 / 113 / 114","3779","READY","CROPPED_FROM_PAGE_RENDER"
"11","Water Pump Assemblies","D.G. GENSETS","CUMMINS ENGINE 125 / 160 / 200 / 250 KW W. P. WITH DOUBLE GROOVE PULLEY","M-544","3166497","6106","READY","CROPPED_FROM_PAGE_RENDER"
"20","Water Pump Assemblies","CARS DIVISION","TATA INDIGO eCS / TATA DICOR","M-647 B","","1492","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","HYUNDAI SANTRO XING ( FLOWER TYPE HUB )","M-646","","942","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","HYUNDAI i10","M-646 B","","1248","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","HYUNDAI i20 / VERNA FLUIDIC DIESEL ENG.","M-646 C","20100-2A020","2155","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","AMBASSADOR HM PLUS ENG. ( HIGH DISCHARGE PUMP )","M-645","4061200040 / 4061200001","1587","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","AMBASSADOR PETROL","M-623","162309 / 3008419","1655","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","FIAT DIESEL ENG. ( PREMIER 137D DIESEL ENG. )","M-622","PA7808 4050","1605","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","TOYOTA INNOVA","M-636","","2952","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","TOYOTA QUALIS","M-652","","1523","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","TOYOTA ETIOS / LIVA / ALTIS DIESEL","M-652 A","","2372","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","CHEVROLET TAVERA","M-639","","1642","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"20","Water Pump Assemblies","CARS DIVISION","CHEVROLET ENJOY","M-639 A","","1931","DUPLICATE","SKIPPED_EXISTING_PRODUCT"
"21","Water Pump Assemblies","CARS DIVISION","ISUZU PETROL ENG.","M-627","306 1200 2410","1459","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","ISUZU DIESEL ENG.","M-628","306 1200 1011","2793","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","NISSAN CD-17","M-625","210 10 58001","1724","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","NISSAN CD-20","M-643","","1377","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","MAHINDRA XYLO ALUM. TYPE ( 6 PK BELT PULLEY )","M-641","0304EB01501N","2896","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","MAHINDRA HAWK / EAGLE ( S.U.V ) ( 4 PK BELT PULLEY )","M-672","0304EM0050N","2601","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","MAHINDRA XUV 500","M-672 A","0304EAM00240N","2548","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","MAHINDRA TUV 300","M-672 B","0311DAM00581N","2468","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","MAHINDRA VERITO / RENAULT DUSTER","M-672 C","0304EAM00240N","1815","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","FORD FIESTA DIESEL","M-675","","1747","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","FORD FIESTA TITANIUM / FIGO TITANIUM / ECO SPORT ( 19 TEETH )","M-675 A","","1747","READY","CROPPED_FROM_PAGE_RENDER"
"21","Water Pump Assemblies","CARS DIVISION","HONDA AMAZE DIESEL","M-676","","2023","READY","CROPPED_FROM_PAGE_RENDER"
"22","Water Pump Assemblies","CARS DIVISION","VOLKSWAGEN POLO / VENTO / SKODA DIESEL ENG.","M-674","","1927","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 1035 ( P3 LOW POSITION ENGINE )","M-801","99DE0320 / 41312167","2043","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 1035 N/M","M-803","99DED166","2080","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON IMT 533 ( MF P3 ENGINE - BIGGER PULLEY )","M-807","41312518 / 34.06.100","2043","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 1040 ( TAFE ) MF 65 MKI 1 / MF 165","M-806","41312038 / 2063 / 2511 / 2574","2394","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 135 WITH BOLTS FAN BOLT SIZE 5 / 16 UNF x 25","M-804","41312055 / 2154 / 2784 / 2494 / 2154 A","2581","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 241 / 245 WITH BOLTS FAN BOLT SIZE 8 x 1.25 x 25","M-805","99530478 / 41312159 / 12487 / 12495 / 99530746","2581","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MASSEY FERGUSON 241 / 245 WITHOUT BOLT","M-805 A","99530478 / 41312159 / 12487 / 12495","2581","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","TAFE-25 / MASSEY FERGUSON 241 EICHER TRACTOR WITHOUT BOLT","M-825 / M-841","99580799 / 99830799","3144","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","MF BIG PULLEY ( S4 TYPE )","M-844 / M-613","99530980","2635","READY","REVIEW_NO_SAFE_PHOTO"
"22","Water Pump Assemblies","TRACTORS DIVISION","PERKINS MF-255/165 WITHOUT PULLEY","M-1001","4132266 / 41312915 / 41312143 / 41313201 / 41313237","2179","READY","REVIEW_NO_SAFE_PHOTO"
"23","Water Pump Assemblies","TRACTORS DIVISION","PERKINS MF-255/165 WITH PULLEY","M-1002","4132266 / 41312915 / 41312143 / 41313201 / 41313237","2975","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA TRACTOR LATEST MODEL WITH 4 PK MULTI GROOVE PULLEY","M-859","0304EAB01000N","2844","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA TRACTOR ENG. WITH BACK PIPE / M&M BOLERO","M-862","0304EG0380N","2844","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA TURBO ENG. WITH BACK PIPE / M&M BOLERO ( WITH SMALLER PULLEY Ø 101 MM )","M-862 A","0304EG0380N","2956","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA JIVO 225 DI","M-862 B","","3043","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","VAIBHAV MINI TRACTOR","M-661","2101058001 / 600-018-59","982","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA CHAMPION BS-2 ENGINE TATA IRIS / VAIBHAV MINI TRACTOR WITH C.I. PULLEY","M-661 A / M-669 A","","1412","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA CHAMPION BS2 ENG. TATA IRIS WITH BASE PLATE","M-661 B","","1461","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA TRACTOR OLD MODEL A BELT ( WITH SINGLE BELT PULLEY A GROOVE FAN BELT TYPE )","M-808 A","84490","2717","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA TRACTOR OLD MODEL B BELT ( WITH SINGLE BELT PULLEY B GROOVE FAN BELT TYPE )","M-808 B","51620","2717","READY","CROPPED_FROM_PAGE_RENDER"
