listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","TRAILER AXLE","FUWA AXLES 16 HOLES","MB/NA/FUWA 4515/2MM","MB/NA/FUWA 4515","2 MM","8","3886","1749","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","62"
"HCV","TRAILER AXLE","JOST AXLES 10 HOLES","MB/NA/JOST/STD","MB/NA/JOST","STD","8","3676","1654","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","63"
"HCV","TRAILER AXLE","JOST AXLES 10 HOLES","MB/NA/JOST/1MM","MB/NA/JOST","1 MM","8","3780","1701","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","64"
"HCV","TRAILER AXLE","JOST AXLES 10 HOLES","MB/NA/JOST/2MM","MB/NA/JOST","2 MM","8","3886","1749","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","65"
"HCV","EXPORT","MAN TRUCK","MB/NA/MAN/STD","MB/NA/MAN","STD","8","4620","2079","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","67"
"HCV","EXPORT","MAN TRUCK","MB/NA/MAN/1MM","MB/NA/MAN","1 MM","8","4726","2127","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","68"
"HCV","EXPORT","MAN TRUCK","MB/NA/MAN/2MM","MB/NA/MAN","2 MM","8","4830","2174","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","69"
"HCV","EXPORT","HINO MOTOR FRONT","MB/NA/HM/FRONT STD/STD","MB/NA/HM/FRONT STD","STD","8","4780","2151","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","70"
"HCV","EXPORT","HINO MOTOR FRONT","MB/NA/HM/FRONT STD/1MM","MB/NA/HM/FRONT STD","1 MM","8","4884","2198","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","71"
"HCV","EXPORT","HINO MOTOR FRONT","MB/NA/HM/FRONT STD/2MM","MB/NA/HM/FRONT STD","2 MM","8","4990","2246","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","72"
"HCV","EXPORT","HINO MOTOR REAR","MB/NA/HM/REAR STD/STD","MB/NA/HM/REAR STD","STD","8","5420","2439","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","73"
