partNumber,name,brand,currentPriceRaw,gstPercent,hsn,oeNumber,sourceUrl,status
"CI-11422","FOG LAMP COVER WITH HOLE ( LH+RH) SET OF 2 PCS HONDA CITY TYPE-6","CI","125 / SET","18","87089900","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-11423","FOG LAMP COVER WITH HOLE ( LH+RH) SET OF 2 PCS HONDA AMAZE TYPE-2","CI","425 / SET","18","87089900","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-11425","FOG LAMP COVER PLAIN ( LH+RH) SET OF 2 PCS HONDA AMAZE TYPE-2","CI","400 / SET","18","87089900","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15301","12 VOLT HORN TT, 95MM","CI","300 / PCS","18","853650","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15302","12 VOLT HORN M-100 BLACK","CI","246 / PCS","18","853650","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15303","12 VOLT HORN S-90 BLACK","CI","243 / PCS","18","853650","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15305","WIND TONE/TRUMPET HORN 12V UNIVERSAL TYPE","CI","475 / SET","18","853650","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15307","HORN D-125MM 12 VOLT DC UNIVERSAL TYPE FOR BUSES, LCVS TRUCKS","CI","438 / PCS","18","853650","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-15313","RED GRILL HORN WITH WIRE DIE-125 MM 12VOLT (PAIR OF 2 PCS) UNIVERSAL TYPE","CI","956 / SET","18","","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-16535","BRAKE SHOE REAR CITY TYPE-5 LH/RH ( SET OF 4 PCS )","CI","921 / PCS","18","87089900","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-21002","AIR FILTER HONDA CITY I-VTEC, BRIO, AMAZE PETROL","CI","225 / PCS","18","84213100","#17200RB0000.. more","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-21014","AIR FILTER CITY TYPE -7 JAZZ N/M, PETROL AMAZE PETROL 2018","CI","231 / PCS","18","84213100","#17220-SSC-E01.. more","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-21065","CABIN FILTER SUITABLE FOR HONDA CITY TYPE-5 I-VTEC, CITY TYPE7, JAZZ, AMAZE CRV T-6","CI","150 / PCS","18","84213100","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
