part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"8177","INSIDE DOOR HANDLE  TOYOTA CAMRY ‘87-91’","0","","","1","PCS","Ambaji Traders","READY"
"8181","INSIDE DOOR HANDLE (SATIN CHROME) WITH WIRE COMPLETE M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"8193","INSIDE DOOR HANDLE ONLY (BLACK) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"8212","STEPNEY HOLDER (RETAINER) ASSY. TOYOTA FORTUNER","0","","","1","PCS","Ambaji Traders","READY"
"8359","WINDOW REGULATOR ASSY. (FRONT) POWER WITHOUT MOTOR TOYOTA COROLLA AE-100","0","","","1","PCS","Ambaji Traders","READY"
"8360","WINDOW REGULATOR ASSY. (FRONT) MANUAL TOYOTA COROLLA AE-100","0","","","1","PCS","Ambaji Traders","READY"
"8363","WINDOW REGULATOR ASSY. POWER REAR  (WITHOUT MOTOR) TOYOTA COROLLA 2009","0","","","1","PCS","Ambaji Traders","READY"
"8855","FUEL TANK CAP NON LOCKING TYPE WITH CHAIN RENAULT & VOLVO TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"9065","OUTSIDE DOOR HANDLE TOYOTA  NOAH VOXY, LAND CRUISER PRADO 2007, CAMRY 2007 A) SILVER B) WHITE C) BLACK","0","","","1","PCS","Ambaji Traders","READY"
"9967","TAIL GATE LICENSE  NUMBER PLATE  TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"10065","FRONT BUMPER TRUCK M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"10716","HEADLIGHT BEZEL CHROME M.BENZ ACTROS MP3 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"11433","FOG LAMP COVER LH - RH M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"11435","FOG LAMP COVER CUT TYPE LH - RH M.BENZ MP4 ACTROS TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"12164","HEAD LAMP ASSY.  JCB BACKHOE LOADER 3CX, 4CX","0","","","1","PCS","Ambaji Traders","READY"
"12167","SQUARE HEAD LIGHT ASSY (BIG) UNIVERSAL TYPE","0","","","1","PCS","Ambaji Traders","READY"
"12168","SQUARE HEAD LIGHT ASSY (SMALL) UNIVERSAL TYPE","0","","","1","PCS","Ambaji Traders","READY"
"12504","WIPER ARM M.BENZ MP4, MP5 TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"12519R","WIPER BLADE ASSY 1*26-650MM  (BOLT TYPE) ASHOK LEYLAND 4921RH","0","","","1","Pcs","Ambaji Traders","READY"
"12523","WIPER BLADE ASSY 20-500M( BAYONET)","0","","","1","Pcs","Ambaji Traders","READY"
"15001","DEFLECTOR M,BENZ CABIN 641","0","","","1","PCS","Ambaji Traders","READY"
"15007","MUDGUARD M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15211","FRONT PILLAR M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15212","SIDE TOP PANEL M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15213","FRONT TOP PANEL M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15214","INNER PILLAR M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15215","FENDER WITH DOOM M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15403","MOTOR FOR WINDOW REGULATORS (24 VOLTS 2PINS) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"15413","MOTOR WINDOW REGULATOR VOLVO FH TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"16925","WIPER LINAKGE ARM M.BENZ MP4 TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"17148","FRONT GRILL METAL M.BENZ 1924 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"18709","TAIL LAMP BHARAT BENZ LED 24V","0","","","1","PCS","Ambaji Traders","READY"
"18715","TAIL LAMP ASSY LED 24V M.BENZ ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"18719","TAIL LAMP ASSY LED 24V M.BENZ TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"18720","HEADLIGHT SIDE INDICATOR MITSUBISHI FUSO, BHARAT BENZ  TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"18721","DOOR FLASHER INDICATOR LIGHT (SIDE LIGHT) MITSUBISHI FUSO, BHARAT BENZ TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"21182 BLOCK","AIR FILTER TATA ULTRA 1100 SERIES M&M 13T CARGO ICV-100 SERIES ASHOK LEYLAND SERIES KIT","0","","","1","Kit","Ambaji Traders","READY"
