part_number,part_name,description,brand,category,sku,hsn,gst,moq,uom,source_rate,mrp,selling_price,oem_number,vehicle_make,source_url,source_image_url,validation_status,firm
"31544","GEAR CABLE BIG/SMALL MAXXIMO","GEAR CABLE BIG/SMALL MAXXIMO","CI AUTOMOTIVE LLP","CABLES / WIRES","31544","87089900","18","1","Pcs","1845","","1845","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31544.png?v=1393","READY","Ambaji Traders"
"31545L","INSIDE DOOR HANDLE JEETO LH","INSIDE DOOR HANDLE JEETO LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","31545L","83012000","18","1","Pcs","167","","167","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31545.jpg?v=1393","READY","Ambaji Traders"
"31545R","INSIDE DOOR HANDLE JEETO RH","INSIDE DOOR HANDLE JEETO RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","31545R","83012000","18","1","Pcs","167","","167","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31545.jpg?v=1393","READY","Ambaji Traders"
"31546","GEAR LEVER BOOT BOLERO ,MAXI TRUCK","GEAR LEVER BOOT BOLERO ,MAXI TRUCK","CI AUTOMOTIVE LLP","GEAR LEVER BOOT","31546","","18","1","Pcs","188","","188","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31546.jpg?v=1393","READY","Ambaji Traders"
"31547","MPFI THERMOSTATE SENSOR (BLACK) MAXXIMO, XYLO, XUV,BOLERO, SCORPIO GENIO,IMPERIO","MPFI THERMOSTATE SENSOR (BLACK) MAXXIMO, XYLO, XUV,BOLERO, SCORPIO GENIO,IMPERIO","CI AUTOMOTIVE LLP","SENSOR","31547","902910","18","1","Pcs","224","","224","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31547.png?v=1393","READY","Ambaji Traders"
"31548","OIL PRESSURE SWITCH BOLERO","OIL PRESSURE SWITCH BOLERO","CI AUTOMOTIVE LLP","SWITCHES","31548","853650","18","1","Pcs","111","","111","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31548.png?v=1393","READY","Ambaji Traders"
"31549","TEMPERATURE SENSOR MAHINDRA BOLERO BLACK","TEMPERATURE SENSOR MAHINDRA BOLERO BLACK","CI AUTOMOTIVE LLP","SENSOR","31549","902910","18","1","Pcs","130","","130","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31549.png?v=1393","READY","Ambaji Traders"
"31550","TEMPERATURE SENSOR SCORPIO WITH WIRE BEFORE 2003","TEMPERATURE SENSOR SCORPIO WITH WIRE BEFORE 2003","CI AUTOMOTIVE LLP","SENSOR","31550","902910","18","1","Pcs","228","","228","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31550.png?v=1393","READY","Ambaji Traders"
"31551","OIL PRESSURE SWITCH SCORPIO CRDI","OIL PRESSURE SWITCH SCORPIO","CI AUTOMOTIVE LLP","SWITCHES","31551","87089900","18","1","Pcs","110","","110","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31551.jpg?v=1393","READY","Ambaji Traders"
"31552","OIL PRESSURE SWITCH SCORPIO W/O WIRE","OIL PRESSURE SWITCH SCORPIO W/O WIRE","CI AUTOMOTIVE LLP","Uncategorized","31552","87089900","18","1","Pcs","102","","102","","","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31552.jpg?v=1393","READY","Ambaji Traders"
