sourceId,sku,name,brand,categoryName,oeCode,hsn,gst,moq,uom,sourcePrice,source_rate,mrp,selling_price,statusSource,vehicleTypes,imageUrl,localImagePath,imageStatus,validationStatus,sourceUrl,firm
"P9765","32103L","INSIDE DOOR HANDLE ASSY VERNA FLUIDIC N/M LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32103.jpeg?v=1393","data/source-catalogue/images/32103L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9766","32103R","INSIDE DOOR HANDLE ASSY VERNA FLUIDIC N/M RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32103.jpeg?v=1393","data/source-catalogue/images/32103R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9681","32104L","INSIDE DOOR HANDLE ASSY BLACK I-10 NIOS ,AURA FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32104.jpeg?v=1393","data/source-catalogue/images/32104L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9682","32104R","INSIDE DOOR HANDLE ASSY BLACK I-10 NIOS ,AURA FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32104.jpeg?v=1393","data/source-catalogue/images/32104R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9683","32105L","INSIDE DOOR HANDLE ASSY. DARK GREY HYUNDAI I-20 N/M LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","279","279","","279","Live","HYUNDAI","https://onlineautohandles.com/product-images/32105.jpeg?v=1393","data/source-catalogue/images/32105L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9684","32105R","INSIDE DOOR HANDLE ASSY. DARK GREY HYUNDAI I-20 N/M RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","279","279","","279","Live","HYUNDAI","https://onlineautohandles.com/product-images/32105.jpeg?v=1393","data/source-catalogue/images/32105R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9589","32106L","INSIDE DOOR HANDLE BLACK CRETA O/M FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32106.jpeg?v=1393","data/source-catalogue/images/32106L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9590","32106R","INSIDE DOOR HANDLE BLACK CRETA O/M FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","212","212","","212","Live","HYUNDAI","https://onlineautohandles.com/product-images/32106.jpeg?v=1393","data/source-catalogue/images/32106R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9593","32107L","INSIDE DOOR HANDLE SILVER HYUNDAI CRETA O/M FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","279","279","","279","Live","HYUNDAI","https://onlineautohandles.com/product-images/32107.png?v=1393","data/source-catalogue/images/32107L.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9594","32107R","INSIDE DOOR HANDLE SILVER HYUNDAI CRETA O/M FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","279","279","","279","Live","HYUNDAI","https://onlineautohandles.com/product-images/32107.png?v=1393","data/source-catalogue/images/32107R.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9595","32108L","INSIDE DOOR HANDLE SILVER HYUNDAI CRETA O/M REAR LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","264","264","","264","Live","HYUNDAI","https://onlineautohandles.com/product-images/32108.jpeg?v=1393","data/source-catalogue/images/32108L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9596","32108R","INSIDE DOOR HANDLE SILVER HYUNDAI CRETA O/M REAR RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","8301200","18","1","Pcs","264","264","","264","Live","HYUNDAI","https://onlineautohandles.com/product-images/32108.jpeg?v=1393","data/source-catalogue/images/32108R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9698","32109L","INSIDE DOOR HANDLE ASSY SILVER HYUNDAI VENUE REAR LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","330","330","","330","Live","HYUNDAI","https://onlineautohandles.com/product-images/32109.jpeg?v=1393","data/source-catalogue/images/32109L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9699","32109R","INSIDE DOOR HANDLE ASSY SILVER HYUNDAI VENUE REAR RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","330","330","","330","Live","HYUNDAI","https://onlineautohandles.com/product-images/32109.jpeg?v=1393","data/source-catalogue/images/32109R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9696","32110L","INSIDE DOOR HANDLE ASSY SILVER  VENUE FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","330","330","","330","Live","HYUNDAI","https://onlineautohandles.com/product-images/32110.jpeg?v=1393","data/source-catalogue/images/32110L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9697","32110R","INSIDE DOOR HANDLE ASSY SILVER  VENUE FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","330","330","","330","Live","HYUNDAI","https://onlineautohandles.com/product-images/32110.jpeg?v=1393","data/source-catalogue/images/32110R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9775","32112L","INSIDE DOOR HANDLE CHROME WIRE TYPE HYUNDAI I-10 GRAND FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","253","253","","253","Live","HYUNDAI","https://onlineautohandles.com/product-images/32112.jpeg?v=1393","data/source-catalogue/images/32112L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9776","32112R","INSIDE DOOR HANDLE CHROME WIRE TYPE HYUNDAI I-10 GRAND FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","253","253","","253","Live","HYUNDAI","https://onlineautohandles.com/product-images/32112.jpeg?v=1393","data/source-catalogue/images/32112R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9773","32113L","INSIDE DOOR HANDLE BLACK WIRE TYPE HYUNDAI I-10 GRAND FRONT LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","128","128","","128","Live","HYUNDAI","https://onlineautohandles.com/product-images/32113.jpeg?v=1393","data/source-catalogue/images/32113L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9774","32113R","INSIDE DOOR HANDLE BLACK WIRE TYPE HYUNDAI I-10 GRAND FRONT RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","128","128","","128","Live","HYUNDAI","https://onlineautohandles.com/product-images/32113.jpeg?v=1393","data/source-catalogue/images/32113R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9644","32114L","INSIDE DOOR HANDLE CHROME WIRE TYPE HYUNDAI XCENT ,I-10 ELITE FRONT & REAR LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","253","253","","253","Live","HYUNDAI","https://onlineautohandles.com/product-images/32114.jpg?v=1393","data/source-catalogue/images/32114L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9645","32114R","INSIDE DOOR HANDLE CHROME WIRE TYPE HYUNDAI XCENT ,I-10 ELITE FRONT & REAR RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","253","253","","253","Live","HYUNDAI","https://onlineautohandles.com/product-images/32114.jpg?v=1393","data/source-catalogue/images/32114R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P11433","32115L/R","WINDOW HANDLE JCD 3DX L/R","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","","","18","1","Set","392","392","","392","Live","JCB AGRICULTURE & MACHINERY","https://onlineautohandles.com/product-images/32115.png?v=1393","data/source-catalogue/images/32115L_R.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9705","32116L","RC LOCK ASSY SUZUKI CELERIO, CELERIO, WAGON-R 3RD GENERATION LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","#83110M76M10 RH,  #83130M76M110 LH","83012000","18","1","Pcs","120","120","","120","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32116.jpeg?v=1393","data/source-catalogue/images/32116L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9706","32116R","RC LOCK ASSY SUZUKI CELERIO, CELERIO, WAGON-R 3RD GENERATION RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","#83110M76M10 RH,  #83130M76M110 LH","83012000","18","1","Pcs","120","120","","120","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32116.jpeg?v=1393","data/source-catalogue/images/32116R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P14525","32117","INSIDE DOOR HANDLE ROD TYPE W/SILVER LEVER LOGAN","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","","18","1","PCS","0","0","","","active","RENAULT","","","missing_source_url","REVIEW","https://onlineautohandles.com/b2b",""
"P9554","32118L","RC LOCK ASSY BEIGE AMAZE, BRIO, BRV, MOBILIO LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","220","220","","220","Live","HONDA","https://onlineautohandles.com/product-images/32118.jpeg?v=1393","data/source-catalogue/images/32118L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9555","32118R","RC LOCK ASSY BEIGE AMAZE, BRIO, BRV, MOBILIO RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","220","220","","220","Live","HONDA","https://onlineautohandles.com/product-images/32118.jpeg?v=1393","data/source-catalogue/images/32118R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9789","32119L","INSIDE DOOR HANDLE FULL CHROME HYUNDAI I-10 LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","83012000","18","1","Pcs","193","193","","193","Live","HYUNDAI","https://onlineautohandles.com/product-images/32119.jpeg?v=1393","data/source-catalogue/images/32119L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
