status,partNumber,application,oem,category,subcategory,sourceUrl,officialImageUrl,imageFile,mrp,sellingPrice,stock
READY,M-602,"MATADOR F-307 / TEMPO TRAX / TEMPO TRAVELLER / MERCEDES 220 / OX TRACTOR (FAN MTG. DIA : 16 MM, C.I. IMPELLER DIA : 67.5 MM)",42001301 / 23020710 1152000020 4200020,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-602,https://mekoautoindia.com/image/catalog/product_images/M-602.png,M-602.png,,,0
READY,M-602 A,"FORCE MOTOR TEMPO TRAVELLER BS-III / BS-IV / BS-VI (FAN MTG. DIA : 19 MM, IND. PLASTIC IMPELLER DIA : 80 MM)",800 - 809 - 200 - 0001,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-602-a,https://mekoautoindia.com/image/catalog/product_images/M-602A.1.png,M-602_A.png,,,0
READY,M-602 B,FORCE TRAVELLER N/M WATER PUMP HALF ASSEMBLY,B00808200000101,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/M-602B,https://mekoautoindia.com/image/catalog/product_images/M-602B.2.png,M-602_B.png,,,0
READY,M-601,TD 3250 FTI CRDI / TEMPO TRAVELLER NEW MODEL COMPLETE WATER PUMP ASSEMBLY (WITH BIG ALUM. BASE PLATE),800 - 809 - 200 - 0001,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-601,https://mekoautoindia.com/image/catalog/product_images/M-602AC.2.png,M-601.png,,,0
READY,M-651 A,BAJAJ MINIDOR ( LATEST MODEL WITH SHORTER VENT PIPE / MOUTH ),008032001101,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-651-a,https://mekoautoindia.com/image/catalog/product_images/M-651Anew.png,M-651_A.png,,,0
READY,M-610,BAJAJ MINIDOR O/M,B-00-803-200-01-01,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-610,https://mekoautoindia.com/image/catalog/product_images/M-610.2.png,M-610.png,,,0
READY,M-651,BAJAJ MINIDOR N/M IDI MODEL (SIDE PIPE CLOSE),B-00-803-200-02-01,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-651,https://mekoautoindia.com/image/catalog/product_images/M-651.2.png,M-651.png,,,0
READY,M-653 / M-621,MAHINDRA CHAMPION / FIAT PREMIER PADMINI PETROL ENG (WITH 5 HOLE HUB),PAB27560 / 28517 28921 / 12423 F407 / 4397,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-653-m-621,https://mekoautoindia.com/image/catalog/product_images/M-653_M-621.png,M-653_M-621.png,,,0
READY,M-622,FIAT DIESEL ENG. (PREMIER 137D DIESEL ENG.),PA 7808 4050,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-622,https://mekoautoindia.com/image/catalog/product_images/M-622.png,M-622.png,,,0
READY,M-644,MINI VIKRAM (NEW MODEL),,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-644,https://mekoautoindia.com/image/catalog/product_images/M-644.png,M-644.png,,,0
